d, nest estimate, e_nest, pauli estimate, e_pauli
4,-0.266007,0.00281,-0.2657689919330059,0.06357904807495034
4.5,0.155176,0.003161,0.15617787160280927,0.20230729215832288
5,-0.01403,0.003512,-0.01625705275861124,0.22478588017591372
5.5,0.136401,0.003864,0.13628635770222075,0.6993695288244515
6,0.003803,0.004215,0.003720252902008027,0.762948576899404
